#Column names can be;;;
#RechargeID(String); RechargeDate(Integer); RemainingDays(Integer); ValidityStatus(String)
R201234;20200511;1;online
R201235;20200119;3;online
R201236;20200105;5;online
R201237;20201105;7;online
R201238;20200711;0;over
R201239;20200711;0;over
R201323;20200312;12;online
R201324;20200407;23;online
R201325;20201101;30;online
R201326;20200705;21;online
R201327;20200507;11;online
R201328;20200710;0;over
R201329;20200710;0;over
R201330;20200709;0;over
R201331;20200709;0;over
R201332;20201108;5;online
R201333;20201112;17;online
R201334;20201215;14;online
R201335;20201213;18;online
R201336;20200307;10;online
R201337;20200609;8;online
R201240;20201008;2;online
R201241;20201109;7;online
R201242;20200711;0;over
R201239;20200711;0;over
R201327;20200507;11;online
R201327;20200507;11;online
R201330;20200709;0;over
R201331;20200709;0;over
R201352;20200803;16;online
R201353;20200525;26;online
R201354;20201126;25;online
R201355;20201012;1;online
R201356;20200702;2;online
R201357;20200813;29;online
R201358;20200127;20;online
R201359;20200228;24;online
R201360;20200615;11;online
R201361;20200902;8;online
R201362;20200201;5;online
R201363;20201029;31;online
R201364;20200626;30;online
R201365;20200329;7;online
R201327;20200507;11;online
R201327;20200507;11;online
R201330;20200709;0;over
R201331;20200709;0;over
R201362;20200201;5;online
R201363;20201029;31;online
R201364;20200626;30;online
R201365;20200329;7;online
R201365;20200329;7;online
